qseqid	nhits	minBitscore	maxBitscore	frequentWords
B9J08_001079	542	39.7	143	wsc; cell; integrity; wall; response; stress; wscp; component; yjm; penicillium
B9J08_001080	78	36.6	88.2	pinp; yjm; lachancea; zygosaccharomyces; induction; psi; kluyveromyces; bailii; pin; bicuspidata
B9J08_001081	502	65.1	239	ribosomal; lble; partial; llike; subunit; isoform; var; lachancea; penicillium; large
B9J08_001082	504	41.6	1497	slmp; domain; domaincontaining; yjm; phosphatidylinositol; slm; bisphosphatebinding; penicillium; fusarium; pseudogymnoascus
B9J08_001083	501	44.3	304	ligase; ubiquitinprotein; isoform; finger; rnflike; like; trim; regulator; ring; actindependent
B9J08_001084	500	147	470	inhibitor; bax; lifeguard; transmembrane; family; motifcontaining; upfdomaincontaining; like; penicillium; vacuolar
B9J08_001085	500	636	798	subunit; regulatory; protease; proteasome; particle; rpt; atpase; penicillium; like; partial
B9J08_001086	500	88.6	255	thioredoxin; thioredoxinlike; reductase; thiol; penicillium; trxp; trx; lachancea; partial; yjm
B9J08_001087	502	51.6	1082	pumilio; family; member; domain; puf; domaincontaining; homology; arm; repeatcontaining; pufp
B9J08_001088	500	45.1	338	oxidoreductase; nadhubiquinone; subunit; penicillium; mimitin; fusarium; conserved; mitochondrial; pseudogymnoascus; partial
B9J08_001089	500	47.4	318	domaincontaining; sorting; ypt; phoxlike; domain; partial; fusarium; nexin; nexinlike; penicillium
B9J08_001090	500	424	665	reductase; thioredoxin; thioredoxindisulfide; leptospira; trr; pseudogymnoascus; interrogans; trrp; nadph; cryptococcus
B9J08_001091	500	45.4	459	syntaxin; tsnare; snare; pep; domain; penicillium; pepp; domaincontaining; pseudogymnoascus; syntaxinlike
B9J08_001092	687	39.7	758	assembly; ironsulfur; cytosolic; probable; ciao; repeatlike; repeat; fusarium; isoform; partial
B9J08_001093	595	52.4	2000	hir; histone; transcription; regulator; fusarium; enhancer; tuplike; hirp; split; penicillium
B9J08_001094	500	214	468	casein; kinase; subunit; beta; regulatory; ckb; colletotrichum; polypeptide; pseudogymnoascus; cryptococcus
B9J08_001095	500	285	767	tryptophantrna; ligase; mitochondrial; synthetase; tryptophanyltrna; isoform; partial; penicillium; mswp; lachancea
B9J08_001096	505	41.6	1379	factor; transcription; gata; ams; sptp; yjm; fusarium; penicillium; colletotrichum; pseudogymnoascus
B9J08_001098	500	255	627	nucleoside; purine; phosphorylase; phosphorylaselike; inosine; purinenucleoside; isoform; guanosine; guanosinespecific; penicillium
B9J08_001099	501	38.9	603	sec; transport; transporter; repeatlike; complex; nuclear; pore; penicillium; component; vesicle
B9J08_001100	25	38.1	398	cicc; intermedia; bicuspidata; farinosa; millerozyma; piso; guilliermondii; meyerozyma; caalfmcca; meo
B9J08_001101	503	105	1916	sin; stb; complex; subunit; stbp; yjm; fusarium; penicillium; pseudogymnoascus; proteinbinding
B9J08_001102	500	213	346	rasrelated; rapb; raslike; rapa; ras; rsr; gtpase; isoform; small; rapblike
B9J08_001103	502	223	713	glutathione; stransferase; omegalike; gst; transferase; cell; wall; biogenesis; cryptococcus; enzyme
B9J08_001104	640	41.2	441	tumor; wilms; isoform; finger; zinc; stpp; yjm; partial; homolog; colletotrichum
B9J08_001105	502	108	1680	mcm; dna; replication; licensing; factor; maintenance; minichromosome; mcmdomaincontaining; penicillium; mcmp
B9J08_001106	500	236	521	peroxiredoxin; prx; mitochondrial; peroxidase; penicillium; thioredoxin; thioredoxinlike; family; ahpctsa; antioxidant
B9J08_001107	912	41.6	1722	sefp; factor; transcription; yjm; sef; cladophialophora; exophiala; penicillium; zinc; transcriptional
B9J08_001108	501	224	696	dna; repair; rad; homolog; rhp; isoform; penicillium; colletotrichum; radlike; partial
B9J08_001109	646	41.6	1518	chromosome; segregation; sepb; loss; minichromosome; fidelity; transmission; pseudogymnoascus; penicillium; ctfp
B9J08_001110	500	145	402	nalphaacetyltransferase; isoform; nacetyltransferase; like; subunit; catalytic; acetyltransferase; drosophila; acylcoa; nacyltransferase
B9J08_001111	55	37	984	conserved; cyberlindnera; rathayibacter; bacteroides; cicc; intermedia; bicuspidata; debaryomyces; guilliermondii; meyerozyma
B9J08_001112	372	38.9	623	regulator; phresponse; palirim; pali; fusarium; signal; transduction; palidomaincontaining; penicillium; rimp
B9J08_001113	500	197	758	dioxygenase; alphaketoglutaratedependent; taurine; sulfonate; catabolism; pseudogymnoascus; family; jlpp; tauddomaincontaining; colletotrichum
B9J08_001114	47	39.7	835	atg; pentatricopeptide; repeatcontaining; cicc; intermedia; bicuspidata; debaryomyces; farinosa; millerozyma; piso
B9J08_001115	221	40	906	fusion; nuclear; kar; partial; karp; yjm; penicillium; membrane; lachancea; thtlike
B9J08_001116	501	68.6	701	lipase; triacylglycerol; yarrowia; lipolytica; extracellular; penicillium; esterase; alphabetahydrolase; partial; fgl
B9J08_001117	66	39.7	429	involved; signaling; rcnp; calcineurindependent; controls; response; stress; virulence; yjm; lachancea
B9J08_001118	500	70.1	716	ribosomal; domaincontaining; ribosome; biogenesis; like; cic; partial; proteasomeinteracting; cicp; penicillium
B9J08_001119	30	37.7	1167	atpbinding; iron; lachnospira; cicc; intermedia; bicuspidata; debaryomyces; guilliermondii; meyerozyma; pgug
B9J08_001120	551	50.8	1161	factor; heat; shock; isoform; transcription; hsfp; yjm; partial; hsf; eukaryote
B9J08_001121	545	40	880	yjm; partial; factor; transcription; copperfistdomaincontaining; copper; macp; haap; fist; cupp
B9J08_001122	500	1069	1852	synthetase; alanyltrna; ligase; alaninetrna; cytoplasmic; penicillium; alap; yjm; pseudogymnoascus; mitochondrial
B9J08_001123	500	158	600	binding; molybdopterin; domaincontaining; domain; penicillium; cofactor; molybdenum; synthesis; fusarium; cryptococcus
B9J08_001124	501	46.2	621	phosphatase; serinethreonineprotein; ppz; serinethreonine; phospho; metallodependent; serine; cryptococcus; var; threonineprotein
B9J08_001125	544	70.1	2976	transporter; abc; yjm; pdrp; atpbinding; cassette; snq; multidrug; snqp; zygosaccharomyces
B9J08_001126	500	92.8	367	pho; cyclin; cyclindomaincontaining; negative; regulatory; preg; nuc; partial; penicillium; cyclindependent
B9J08_001127	394	38.9	521	penicillium; yjm; hyjmg; pseudogymnoascus; conserved; colletotrichum; partial; function; unknown; duf
B9J08_001128	500	107	607	ribosomal; mitochondrial; ymlyml; subunit; penicillium; pseudogymnoascus; fusarium; family; partial; vkm
B9J08_001129	501	53.1	591	gle; nucleoporin; export; glelike; rna; mediator; glep; gledomaincontaining; fusarium; yjm
B9J08_001130	500	301	2577	cohesion; sister; chromatid; pds; pdsp; yjm; fusarium; bimd; spo; dna
B9J08_001131	557	41.6	1718	kinase; yjm; kin; kinp; serinethreonine; camkcamklkin; serinethreonineprotein; proteinserinethreonine; penicillium; fusarium
B9J08_001132	525	42.7	1124	finger; zinc; nfx; nfxtype; transcription; factor; fapp; nfxl; yjm; partial
B9J08_001133	500	111	478	rrnaprocessing; utp; small; nucleolar; partial; rnaassociated; fcfdomaincontaining; fusarium; colletotrichum; pseudogymnoascus
B9J08_001134	500	80.9	255	rna; polymerase; dnadirected; subunit; rpa; polypeptide; kda; factor; transcription; penicillium
B9J08_001135	736	65.9	616	deoxyhypusine; hydroxylase; fusarium; isoform; heat; repeatcontaining; hydroxylaselike; drosophila; repeat; arm
B9J08_001136	500	724	1067	tcomplex; subunit; epsilon; penicillium; cct; chaperonin; pseudogymnoascus; fusarium; colletotrichum; chaperonincontaining
B9J08_001137	500	493	793	actinrelated; arp; actinlike; actin; complex; subunit; actinactinlike; binding; penicillium; colletotrichum
B9J08_001138	520	60.8	4957	kinase; tor; phosphatidylinositol; torp; yjm; fkbprapamycin; complexassociated; fusarium; penicillium; pseudogymnoascus
B9J08_001139	500	222	717	phosphate; terminal; rna; cyclaselike; rrna; biogenesis; isoform; rcl; cyclase; probable
B9J08_001140	130	40.4	932	subunit; tfiid; factor; tafp; transcription; initiation; yjm; lachancea; partial; altname
B9J08_001141	503	147	2350	condensin; complex; subunit; cnd; component; fusarium; ycsp; oxysporum; yjm; penicillium
B9J08_001142	501	290	1126	mboat; family; acyltransferase; lysophospholipid; oacyltransferase; membranebound; penicillium; mboatdomaincontaining; pseudogymnoascus; membrane
B9J08_001143	500	353	725	ferrochelatase; mitochondrial; precursor; penicillium; colletotrichum; hemp; fusarium; cryptococcus; probable; partial
B9J08_001144	123	38.1	359	subunit; mediator; medp; polymerase; rna; transcription; lachancea; complex; zygosaccharomyces; yjm
B9J08_001145	500	39.7	373	patch; domaincontaining; isoform; partial; angiogenic; domains; factor; fha; yjm; hyjml
B9J08_001146	548	40	954	rnabinding; binding; regulator; posttranscriptional; mrna; domaincontaining; partial; csx; polyadenylatebinding; namp
B9J08_001147	51	35.8	223	lactonase; lascorbatephosphate; providencia; vibrio; rettgeri; conserved; lascorbate; phosphate; alcalifaciens; ulag
B9J08_001148	500	48.5	367	subunit; nadhubiquinone; oxidoreductase; dehydrogenase; nadh; beta; subcomplex; ubiquinone; partial; penicillium
B9J08_001149	711	42.4	2872	swr; helicase; swrp; yjm; snf; family; helicaseatpase; adenosinetriphosphatase; penicillium; fusarium
B9J08_001150	500	58.2	169	subunit; atpase; vtype; proton; vacuolar; atp; synthase; hatpase; partial; pseudogymnoascus
B9J08_001151	500	460	1246	aldehyde; dehydrogenase; dehydrogenaselike; oxidoreductase; meiotic; recombination; msc; penicillium; sisterchromatid; aldhlike
B9J08_001152	501	48.9	1356	factor; transcription; nulppending; dufdomaincontaining; penicillium; yjm; hyjmd; fusarium; cytoplasmic; cryptococcus
B9J08_001153	500	40	211	shwachmanbodiandiamond; syndrome; rna; binding; sbds; dufdomaincontaining; maturation; ribosome; penicillium; sdolike
B9J08_001154	2	33.5	34.7	capsulata; kuraishia; product; unnamed; aaceriadrcp; aceri; ashbya; saccharomycetaceae
B9J08_001155	544	39.7	269	partial; bicuspidata; cell; wall; glabrata; metbidraft; metschnikowia; var; hyphally; regulated
B9J08_001156	500	665	1457	synthetase; glutamyltrna; ligase; glutamatetrna; cytoplasmic; penicillium; pseudogymnoascus; gusp; probable; class
B9J08_001157	576	42	1110	sporulation; rmd; dufdomaincontaining; rmdp; penicillium; family; yage; yjm; factor; sadinteracting
B9J08_001158	501	65.9	835	transcriptional; swt; isoform; swtlike; partial; swtp; yjm; sinocyclocheilus; lachancea; rhinocerous
B9J08_001159	761	38.5	746	anatis; gallibacterium; partial; drosophila; kowalevskii; saccoglossus; capsulatum; histoplasma; nam; abundant
B9J08_001160	500	137	452	kinase; phosphoribulokinaseuridine; kinaserelated; penicillium; family; ploop; fusarium; hydrolase; nucleoside; triphosphate
B9J08_001161	500	327	639	oxidase; coproporphyrinogen; iii; coproporphyrinogeniii; oxygendependent; mitochondrial; penicillium; fusarium; partial; pseudogymnoascus
B9J08_001162	529	42	1360	transporter; magnesium; ion; alrp; metal; family; yjm; cora; alr; coradomaincontaining
B9J08_001163	702	41.6	769	kri; ribosome; biogenesis; pseudogymnoascus; krilike; family; krrdomaincontaining; krip; vkm; homolog
B9J08_001164	330	41.2	1581	peroxisomal; membrane; pex; peroxin; penicillium; biogenesis; factor; colletotrichum; partial; metarhizium
B9J08_001165	129	37.7	1499	pentatricopeptide; repeatcontaining; atg; isoform; partial; mitochondrial; nicotiana; happinduced; citrus; mitochondriallike
B9J08_001166	500	90.1	601	nuclear; small; ribonucleoprotein; kda; domaincontaining; rnabinding; partial; snpp; pseudogymnoascus; snrnp
B9J08_001167	503	48.5	291	binding; cytochrome; progesterone; steroidbinding; domaincontaining; blike; hemesteroid; probable; penicillium; damage
B9J08_001168	245	42.7	1915	yjm; hyjmm; lachancea; conserved; zygosaccharomyces; kluyveromyces; ymrw; guilliermondii; cicc; intermedia
B9J08_001169	500	77.4	545	glutamine; amidotransferase; class; amidotransferaselike; synthase; gmp; penicillium; fusarium; classi; type
B9J08_001170	500	136	577	glutathione; stransferase; ure; cterminallike; urep; oxidoreductase; thioldisulfide; phanerochaete; penicillium; trametes
B9J08_001171	500	171	692	dehydrogenase; alcohol; nadpdependent; streptomyces; propanolpreferring; multispecies; micromonospora; mycobacterium; nocardia; rhodococcus
B9J08_001172	1278	47	916	duf; taep; yjm; fusarium; antigen; cancer; colon; defined; serologically; pseudogymnoascus
B9J08_001173	501	251	723	deacetylase; naddependent; sirtuin; isoform; histone; sir; hst; hstp; family; sirt
B9J08_001174	538	40	656	colletotrichum; fusarium; cytoplasmic; conserved; cryptococcus; penicillium; partial; gattii; pseudogymnoascus; rrna
B9J08_001175	870	22.3	1606	duf; domain; yjm; hyjmf; membrane; penicillium; dufdomaincontaining; fusarium; pseudogymnoascus; domaincontaining
B9J08_001176	502	42	1226	beta; phenylalanyltrna; synthetase; subunit; ligase; phenylalaninetrna; chain; frsp; penicillium; pseudogymnoascus
B9J08_001177	501	152	422	gtpbinding; rab; ypt; rasrelated; gtpase; small; sas; rabgtpase; rabtype; rasdomaincontaining
B9J08_001178	652	36.2	207	subunit; oxidoreductase; nadhubiquinone; kda; nadh; dehydrogenase; alpha; subcomplex; ubiquinone; penicillium
B9J08_001179	501	42.4	174	fusarium; domaincontaining; domain; colletotrichum; metarhizium; wwrspwwp; pseudogymnoascus; arsef; partial; oxysporum
B9J08_001180	7	43.5	59.7	debaryomyces; farinosa; millerozyma; piso; picst; scheffersomyces; stipitis; burtonii; hypbudraft; hyphopichia
B9J08_001181	184	39.3	786	opip; yjm; opi; factor; opidomaincontaining; transcriptional; bzip; repressor; lachancea; transcription
B9J08_001182	200	39.7	1284	zygosaccharomyces; yjm; hyjmn; passalidarum; spapadraft; spathaspora; bailii; ynlwlike; conserved; globinlike
B9J08_001183	667	48.5	696	transporter; zinc; cation; resistance; zinccadmium; efflux; family; penicillium; diffusion; facilitator
B9J08_001184	46	38.9	261	debaryomyces; bicuspidata; cicc; intermedia; guilliermondii; meyerozyma; passalidarum; spapadraft; spathaspora; partial
B9J08_001185	912	40	836	transporter; zip; zinc; permease; vacuolar; ion; metal; zincregulated; zinciron; penicillium
B9J08_001186	164	23.5	883	yjm; hyjmk; lachancea; ogataea; cyberlindnera; yklw; hanseniaspora; yklwlike; conserved; function
B9J08_001187	500	43.5	706	mitochondrial; metaxin; subunit; import; receptor; drosophila; isoform; complex; penicillium; membrane
B9J08_001188	502	60.1	1431	rna; mrna; endprocessing; complex; sufdomaincontaining; component; cfia; penicillium; factor; rnap
B9J08_001189	2	41.2	1020	casseliflavus; enterococcus
B9J08_001190	503	38.5	755	methyltransferase; sadenosyllmethioninedependent; factor; mitochondrial; rna; transcription; partial; penicillium; pseudogymnoascus; polymerase
B9J08_001191	361	37	345	penicillium; domainbinding; wwdomainbinding; fusarium; conserved; ligand; wwdomain; partial; stressinduced; pseudogymnoascus
B9J08_001192	566	42.7	3004	snf; chromatin; atpdependent; complex; remodeling; helicase; factor; sthsnf; subunit; atp
B9J08_001193	355	38.1	689	phosphate; phoh; starvationinducible; starvation; decay; nonsensemediated; penicillium; conserved; bacterium; atpase
B9J08_001194	500	230	953	septin; cell; division; control; sprp; yjm; spn; rhizopus; microsporus; penicillium
B9J08_001195	90	42	1926	partial; guilliermondii; meyerozyma; pgug; debaryomyces; conserved; cicc; intermedia; bicuspidata; farinosa
B9J08_001196	484	34.7	243	cfem; partial; mdraft; colletotrichum; calospora; mut; tulasnella; domaincontaining; membrane; pseudogymnoascus
B9J08_001197	77	38.9	1468	conserved; debaryomyces; guilliermondii; meyerozyma; pgug; cicc; intermedia; bicuspidata; picst; scheffersomyces
B9J08_001198	141	38.9	713	kinaseassociated; sphase; isoform; lachancea; gorilla; zygosaccharomyces; partial; kluyveromyces; homo; sapiens
B9J08_001199	56	37.7	436	pgap; yjm; family; conserved; zygosaccharomyces; glycosyl; transferase; cicc; intermedia; bicuspidata
B9J08_001200	500	57.4	249	family; campregulated; phosphoprotein; igo; endosulfinedomaincontaining; endosulphine; partial; mrna; stability; conserved
B9J08_001201	160	36.2	308	atg; enzyme; ubiquitinlikeconjugating; isoform; autophagyrelated; juglans; regia; partial; camelina; sativa
B9J08_001202	500	45.4	381	subunit; nadhubiquinone; oxidoreductase; kda; nadh; dehydrogenase; penicillium; ubiquinone; complex; colletotrichum
B9J08_001203	502	40.4	637	insulininduced; insig; gene; domaincontaining; nsgp; isoform; domain; penicillium; pseudogymnoascus; yjm
B9J08_001204	500	79	645	dnadependent; metalloprotease; wss; zinc; wsslike; isoform; loc; metallopeptidase; wlmdomaincontaining; penicillium
B9J08_001205	501	113	977	kinase; hydroxyethylthiazole; bifunctional; thiamine; biosynthetic; enzyme; tmptenidomaincontaining; thiaminephosphate; penicillium; pseudogymnoascus
B9J08_001206	500	42.4	960	alcohol; acetyltransferase; fusarium; penicillium; atfp; yjm; oxysporum; colletotrichum; conserved; nacetyltransferase
B9J08_001207	500	679	1005	fumarate; hydratase; mitochondrial; class; fumarase; penicillium; partial; fump; precursor; cryptococcus
B9J08_001208	46	37.7	1431	cyberlindnera; cicc; intermedia; bicuspidata; debaryomyces; guilliermondii; meyerozyma; pgug; farinosa; millerozyma
B9J08_001209	507	61.2	1952	repair; dna; rad; radp; raddomaincontaining; partial; rhp; yjm; penicillium; nitrilase
B9J08_001210	500	118	551	loop; repeat; membrane; integral; partial; pseudogymnoascus; cryptococcus; penicillium; fusarium; var
B9J08_001211	562	43.5	4140	histone; transcription; regulator; corepressor; transcriptional; hir; pseudogymnoascus; fusarium; genes; penicillium
B9J08_001212	3	33.5	43.5	yjlc; ecjp; bolleyi; micboqcdraft; microdochium
B9J08_001213	501	80.5	932	transporter; mfs; multidrug; general; substrate; polyamine; resistance; facilitator; major; superfamily
B9J08_001214	40	40.8	1154	essential; viability; conserved; bacteriovorus; bdellovibrio; cicc; intermedia; bicuspidata; debaryomyces; farinosa
B9J08_001215	410	40	1894	hamartin; sclerosis; tuberous; fusarium; partial; pseudogymnoascus; oxysporum; acidic; fibrillary; glial
B9J08_001216	500	619	1523	mannosyltransferase; dolichylphosphatemannoseprotein; family; glycosyltransferase; pmti; omannosyltransferase; pmtp; penicillium; pseudogymnoascus; yjm
B9J08_001217	500	97.8	774	exopolyphosphatase; phosphoesterase; dhh; prune; homolog; fusarium; phytophthora; ppxp; pseudogymnoascus; parasitica
B9J08_001218	352	38.9	603	ligase; ubiquitinprotein; yjm; isoform; hyjmj; fusarium; ubiquitinconjugating; enzyme; pseudogymnoascus; var
B9J08_001219	62	37.4	586	reductase; acetylglutamate; kinase; gammaglutamylphosphate; raoultella; bacterium; cellwall; mannoproteinlike; planctomycetes; ornithinolytica
B9J08_001220	208	38.5	374	csmp; segregation; chromosome; meiosis; fork; replication; protection; yjm; swidomaincontaining; component
B9J08_001221	503	44.7	877	domaincontaining; ggdef; diguanylate; histidine; vibrio; kinase; cyclase; bifunctional; cyclasephosphodiesterase; sensor
B9J08_001222	500	184	394	proteasome; regulatory; subunit; nonatpase; homolog; isoform; rpn; partial; gossypium; chain
B9J08_001223	26	35.4	131	frankia; dehydrogenase; fadbinding; oxidoreductase; debaryomyces; farinosa; millerozyma; piso; guilliermondii; meyerozyma
B9J08_001224	503	50.4	2761	reductase; sulfite; subunit; beta; nadph; hemoprotein; betacomponent; metp; yjm; penicillium
B9J08_001225	449	39.3	1614	spx; domaincontaining; yjm; hyjmd; colletotrichum; fusarium; transporter; phosphodiesterase; partial; pseudogymnoascus
B9J08_001226	17	38.9	517	cicc; intermedia; bicuspidata; debaryomyces; guilliermondii; meyerozyma; helicobacter; clavispora; clug; lusitaniae
B9J08_001227	500	456	643	dehydrogenase; glyceraldehydephosphate; cytosolic; glyceraldehyde; cytosoliclike; phosphate; tdhp; yjm; brassica; var
B9J08_001228	501	108	1569	mannosyltransferase; dolichylphosphatemannoseprotein; family; glycosyltransferase; pmtp; transferase; yjm; omannosyl; penicillium; pseudogymnoascus
B9J08_001229	500	83.6	325	cluster; assembly; ironsulfur; accessory; partial; iron; fes; penicillium; isa; pseudogymnoascus
B9J08_001230	518	43.9	1259	regulatory; phosphatase; subunit; ppa; isoform; kda; serinethreonineprotein; alpha; repeatcontaining; arm
B9J08_001231	500	160	703	phosphoglycerate; mutase; mutaselike; penicillium; family; phosphomutase; histidine; phosphatase; superfamily; anchored
B9J08_001232	501	42.4	839	transcription; factor; penicillium; fusarium; oxysporum; partial; pseudogymnoascus; zinc; resistance; fluconazole
B9J08_001233	15	31.6	42.4	capsulata; kuraishia; product; unnamed; echinococcus; multilocularis; minded; single; cantadraft; tanzawaensis
B9J08_001234	45	37	251	conserved; cicc; intermedia; debaryomyces; bicuspidata; pichia; awri; ogataea; cyberlindnera; fabianii
B9J08_001235	121	38.1	788	conserved; debaryomyces; happrepressed; guilliermondii; meyerozyma; pgug; cpar; parapsilosis; partial; cicc
B9J08_001236	583	41.2	1214	subunit; dna; helicase; atpdependent; complex; repair; dsb; ykup; cryptococcus; dnabinding
B9J08_001237	500	159	292	complex; subunit; sigma; adaptor; clathrin; assembly; coat; partial; isoform; small
B9J08_001238	500	149	426	thymidylate; kinase; isoform; kinaselike; penicillium; drosophila; cdcp; partial; phytophthora; lachancea
B9J08_001239	510	43.1	1282	reductase; yjm; dehydropantoate; dehydrogenase; svlp; alcohol; fusarium; meiotically; upregulated; pamp
B9J08_001240	140	37.7	402	mosp; yjm; cytoplasmic; conserved; partial; metarhizium; isoleucinetrna; ligase; papilio; probable
B9J08_001241	502	47.4	1264	amino; acid; transporter; vacuolar; transmembrane; avtp; carrier; family; protoncoupled; solute
B9J08_001242	48	35.4	207	debaryomyces; farinosa; millerozyma; piso; kre; guilliermondii; meyerozyma; precursor; cantadraft; tanzawaensis
B9J08_001243	500	141	431	factor; initiation; translation; eukaryotic; eife; elike; binding; cap; penicillium; eif
B9J08_001244	500	204	622	bem; family; alphabetahydrolase; penicillium; hydrolase; alphabeta; pseudogymnoascus; fusarium; partial; colletotrichum
B9J08_001245	852	42	2278	repeatcontaining; isoform; rtcp; yjm; partial; like; capping; telomere; repeatlike; repeat
B9J08_001246	500	79.7	448	complex; gins; sld; replication; dna; subunit; component; sldp; fusarium; var
B9J08_001247	500	102	1085	dynein; intermediate; cytoplasmic; isoform; chainlike; chain; bombus; polistes; terrestris; impatiens
B9J08_001248	588	40.4	892	rad; repair; doublestrandbreak; homolog; cohesin; subunit; penicillium; complex; partial; pseudogymnoascus
B9J08_001249	145	36.6	169	partial; tlop; meu; activator; transcriptional; telomereproximal; family; function; member; proteins
B9J08_001250	500	116	283	synthase; atp; subunit; delta; mitochondrial; chain; epsilon; ffatp; nterminal; precursor
B9J08_001251	500	37.4	321	ribosomal; mitochondrial; penicillium; yml; mrpl; pseudogymnoascus; mrplp; biosynthesis; diphthamide; colletotrichum
B9J08_001252	500	71.2	228	ribonucleoprotein; small; nuclear; dlike; smlike; ribonucleo; partial; probable; isoform; subsp
B9J08_001253	500	48.9	672	derlin; isoform; derlinlike; partial; derlike; family; dfmp; gossypium; member; product
B9J08_001254	835	43.1	1950	calcium; permease; exchanger; antiporter; membrane; transporter; family; calciumproton; cah; vacuolar
B9J08_001255	500	563	1156	alphaglucosidase; maltase; yjm; imap; hydrolase; glycoside; family; penicillium; fusarium; pseudogymnoascus
B9J08_001256	503	63.2	3051	rna; polymerase; subunit; dnadirected; rpb; largest; dna; beta; betaprime; dependent
B9J08_001257	215	38.5	470	pseudogymnoascus; subunit; rnase; pop; vkm; mdraft; partial; ribonucleases; var; pmrp
B9J08_001258	500	427	669	factor; replication; subunit; containing; hydrolase; nucleoside; ploop; triphosphate; rfc; dna
B9J08_001259	504	51.2	1208	sac; family; vacuolar; sortingassociated; vps; vpssac; complex; garp; penicillium; subunit
B9J08_001260	505	42	1609	helicase; dna; pcra; atpdependent; atpase; geobacillus; aaa; fusobacterium; bacterium; bacillus
B9J08_001261	500	71.6	808	domaincontaining; nuclear; premrna; regulation; duf; isoform; domain; upf; dufdomaincontaining; fusarium
B9J08_001262	151	38.9	530	segregation; complex; pseudogymnoascus; chromosome; monopolin; lachancea; csm; subunit; conserved; csmp
B9J08_001263	501	48.5	199	finger; zinc; lyartype; cell; nucleolar; penicillium; partial; fusarium; pseudogymnoascus; growthregulating
B9J08_001264	500	42.4	266	cytochrome; cox; oxidase; assembly; mitochondrial; oxidaseassembly; factor; penicillium; precursor; cryptococcus
B9J08_001265	1109	40.8	1051	transcriptional; repressor; tup; rco; glucose; regulatory; repression; tupp; penicillium; repeatlike
B9J08_001266	500	334	595	decarboxylase; diphosphomevalonate; pyrophosphate; penicillium; mevalonate; pseudogymnoascus; colletotrichum; mvdp; var; mvd
B9J08_001267	500	129	389	synthase; phosphatidyltransferase; phosphatidyl; cardiolipin; cdpdiacylglycerolglycerolphosphate; cdpalcohol; penicillium; partial; fusarium; pseudogymnoascus
B9J08_001268	7	37.7	437	cicc; intermedia; bicuspidata; cacao; isoform; loc; theobroma; metbidraft; metschnikowia; var
B9J08_001269	500	45.8	358	meiotically; upregulated; fusarium; penicillium; peroxin; oxysporum; gene; pseudogymnoascus; partial; conserved
B9J08_001270	160	38.5	553	cstp; yjm; atfcreb; lachancea; transcription; activator; factor; partial; basic; leucine
B9J08_001271	500	580	1129	tcomplex; subunit; theta; penicillium; chaperonincontaining; cct; chaperonin; complex; colletotrichum; cctp
B9J08_001272	501	46.2	497	isomerase; synthase; anthranilate; component; nphosphoribosylanthranilate; phosphate; phosphoribosylanthranilate; tryptophan; biosynthesis; indoleglycerol
B9J08_001273	501	93.6	1505	complex; subunit; garp; vps; vacuolar; fusarium; sortingassociated; sorting; penicillium; oxysporum
B9J08_001274	615	44.3	1934	kelp; yjm; cell; polarity; kelch; repeatcontaining; tea; penicillium; domaincontaining; pseudogymnoascus
B9J08_001275	668	42	1451	regulator; phresponse; palfrim; response; palf; rimp; penicillium; pseudogymnoascus; yjm; arrestin
B9J08_001276	744	39.7	476	nucleolin; localization; nuclear; penicillium; partial; domaincontaining; rnabinding; pseudogymnoascus; sequencebinding; nsrp
B9J08_001277	502	115	1191	synthase; isopropylmalate; leup; yjm; penicillium; pseudogymnoascus; alphaisopropylmalate; fusarium; colletotrichum; leu
B9J08_001278	502	135	376	ribosomal; subunit; penicillium; rhizopus; microsporus; yjm; partial; schizosaccharomyces; rplap; colletotrichum
B9J08_001279	500	261	949	dehydrogenase; salicylaldehyde; acinetobacter; baumannii; aldehyde; fusarium; pittii; vanillin; naddependent; oxysporum
B9J08_001280	500	162	739	lipase; triacylglycerol; alphabetahydrolase; partial; cryptococcus; fusarium; pseudogymnoascus; tglp; penicillium; var
B9J08_001281	500	257	933	biosynthesis; ubiquinone; coq; monooxygenase; hydrox; coqp; yjm; penicillium; pseudogymnoascus; monooxgenase
B9J08_001282	501	47	469	naprelated; like; isoform; nap; assembly; family; nucleosome; fusarium; partial; colletotrichum
B9J08_001283	500	69.3	805	rna; polymerase; subunit; dnadirected; associated; factor; rpa; alike; partial; pseudogymnoascus
B9J08_001284	647	41.2	1306	penicillium; yjm; hyjmj; fusarium; colletotrichum; partial; oacyltransferaselike; phosphatidylcholinesterol; pseudogymnoascus; conserved
B9J08_001285	414	18.9	670	factor; transcription; finger; zinc; dnabinding; cryptococcus; motif; wickerhamomyces; gattii; fusarium
B9J08_001286	500	735	1914	mitochondrial; protease; yta; assembly; chain; complexes; respiratory; aaa; atpdependent; afg
B9J08_001287	10	37	429	regulator; transcriptional; leuconostoc; eubacterium; multispecies; conserved; uncultured; cag; mesenteroides; lactobacillales
B9J08_001288	503	47.4	583	complex; chromatin; localization; nuclear; rsc; structureremodeling; subunit; npl; fusarium; penicillium
B9J08_001289	441	37.7	1019	transcription; factor; rpn; proteasome; finger; zinc; subunit; pseudogymnoascus; fusarium; regulatory
